entity_type,name,issn,qualis,institution_name,published_at,application_deadline,source_url,active,indexers
edict,Edital de Pesquisa Aplicada 2026,,,Universidade Federal de Minas Gerais,2026-01-10,2026-02-20,https://editais.exemplo.br/pesquisa-aplicada-2026,true,Scopus;SciELO
indexer,Scopus,,,,,,,,
journal,Revista Brasileira de Tecnologia,1000-0003,A1,,,,,Scopus;Web of Science
institution,Universidade Federal de Minas Gerais,,,,,,,,
edict,Programa de Bolsas em Saúde,,,Universidade de São Paulo,2026-02-01,2026-03-15,https://editais.exemplo.br/bolsas-saude-2026,true,PubMed;SciELO
indexer,SciELO,,,,,,,,
journal,Cadernos de Inovação,1000-0011,A2,,,,,SciELO
institution,Universidade de São Paulo,,,,,,,,
edict,Chamada de Mobilidade Internacional,,,Universidade Estadual de Campinas,2026-01-22,2026-04-10,https://editais.exemplo.br/mobilidade-2026,true,Web of Science
indexer,Web of Science,,,,,,,,
journal,Journal of Digital Education,1000-002X,A3,,,,,ERIC;DOAJ
institution,Universidade Estadual de Campinas,,,,,,,,
edict,Residência Multiprofissional 2026,,,Universidade Federal do Rio de Janeiro,2026-03-01,2026-04-30,https://editais.exemplo.br/residencia-2026,true,PubMed;LILACS
indexer,PubMed,,,,,,,,
journal,Estudos em Saúde Coletiva,1000-0038,A1,,,,,PubMed;LILACS
institution,Universidade Federal do Rio de Janeiro,,,,,,,,
edict,Edital de Extensão Comunitária,,,Universidade Federal do Paraná,2026-02-15,2026-05-05,https://editais.exemplo.br/extensao-2026,true,SciELO;Redalyc
indexer,LILACS,,,,,,,,
journal,Revista de Engenharia e Sociedade,1000-0046,B1,,,,,Scopus;DOAJ
institution,Universidade Federal do Paraná,,,,,,,,
edict,Iniciação Científica 2026,,,Universidade Federal de Santa Catarina,2026-01-05,2026-03-01,https://editais.exemplo.br/iniciacao-cientifica-2026,true,Scopus
indexer,DOAJ,,,,,,,,
journal,Perspectivas em Computação,1000-0054,A2,,,,,Scopus;DBLP
institution,Universidade Federal de Santa Catarina,,,,,,,,
edict,Edital de Inovação Tecnológica,,,Universidade Federal do Rio Grande do Sul,2026-03-10,2026-06-01,https://editais.exemplo.br/inovacao-tecnologica-2026,true,Scopus;IEEE Xplore
indexer,Redalyc,,,,,,,,
journal,Arquivos de Gestão Pública,1000-0062,B1,,,,,Redalyc;SciELO
institution,Universidade Federal do Rio Grande do Sul,,,,,,,,
